Investor Name,Number of Company
Matrix Partmers,1
Susa Ventures,2
Riverwood Capital,2
Lightrock,3
Metaplanet,1
Maersk Growth,2
Global Emerging Markets,1
Sram & Mram Group,1
Marshland Capital,1
Longzhu Capital,1
CSC Group,1
Marathon Venture Partners,1
Ding Xiang Capital,1
New Hope Fund,1
Sino-Ocean Capital,1
Taigang Venture Capital,1
Slow Ventures,2
BUILD Capital Partners,1
China Life Investment Holding Company,1
Kickstart Fund,1
Mayfield,3
Bonfire Ventures,1
FJ Labs,2
TriplePoint Capital,2
Newion Partners,1
SmartFin Capital,1
Doha Venture Capital,1
Tiger Global management,2
BNP Paribas,1
Phoenix New Media,1
Tianjin Haihe Industry Fund,1
Seaya Ventures,1
Otter Rock Capital,1
Rakuten,1
SF Holding Co,1
STO Express,1
Lightbox Ventures,1
Entree Capital,1
Cercano Management,1
Aspenwood Ventures,1
Mirae Asset Capital,1
BOND,1
Kindred Capital,1
BGF Ventures,2
Hummingbird Ventures,2
Fireside Ventures,2
AXA Venture Partners,1
Sigma Prime Ventures,1
Helion Venture Partners,3
Signal Peak Ventures,1
Owl Ventures,2
Tengelmann Ventures,1
Simon Equity Partners,1
Wavemaker Partners,1
Anthem Venture Partners,1
Innovation Endeavors,3
s28 Capital,2
Four Rivers Group,1
DAG Ventures,1
Qatar Holding,1
Propel Venture Partners,1
BBVA,1
DESUN Capital,1
Meridian Capital,1
Ivy Capital,1
Broom Ventures,1
Resolute Ventures,2
Glory Ventures,2
Marchmont Ventures,1
Atinum Investment,2
Company K Partners,1
GIC,2
Advantech Capital,1
Temasek Holdings Ltd.,1
Tiantu Capital Co.,1
SC.Holdings,2
Not Boring Capital,1
Bolt Ventures,1
China Internet Investment Fund,1
Ally Bridge Group,1
InnoVentures Capital Partners,1
BlueCross BlueShield Venture Partners,1
US Venture Partners,1
Nirvana Venture Advisors,1
York Capital Management,1
GE Healthcare,1
Koch Disruptive Technologies,3
Next Coast Ventures,1
SoGal Ventures,1
H Capital,1
N5 Capital,1
CR Capital Mgmt,1
JD Digits,1
Spotify,1
International Finance Corporation,2
Anthermis,1
GLP Capital Partners,1
Wipro Ventures,1
Summer Capital,1
LocalGlobe,2
Walden Venture Capital,1
GSV Ventures,3
Kraken Ventures,1
Chromo Invest,1
UNITY VENTURES,1
CVS Health,1
MassMutual Ventures,1
Dynamo VC,1
Nordic Capital,1
Mitsubishi Corporation,1
Mayfair Equity Partners,1
Gaocheng Capital,1
Chuanrong Capital,1
Dark Horse Technology Group,1
Kefa Capital,1
Utrust Venture Capital,1
GF Xinde Investment Management Co.,2
Yuanda Venture Investment,1
Primitive Forest Holdings Group,1
SAP.iO Fund,1
CMC Capital Partners,1
Hedosophia,3
Outrun Ventures,1
Struck Capital,1
Alumni Ventures Group,2
Dila Capital,1
Framework Ventures,1
3L,2
Banner Ventures,1
Castle Island Ventures,1
G Squared,3
UiPath Ventures,1
Unkork Capital,1
TSG Consumer Partners,1
Crowdcube,1
Delta Capital,1
Brainchild Holdings,1
Nextech Invest,1
Casdin Capital,1
Trane Technologies,1
Honeywell,1
Leta Capital,1
Cool Japan Fund,1
JAFCO,1
Wamda Capital,1
Endeavor,4
Alexandria Venture Investments,2
ICG,1
Presidio Ventures,1
Advancit Capital,1
Lenovo Capital and Incubator,1
Group GSR Ventures,1
SWaN & Legend Ventures,1
Invus Group,2
Version One Ventures,2
Quadrille Capital,1
Newpath Partners,1
RPM Ventures,1
Inspiration Ventures,1
Carrick Capital Partners,1
Perpetual Investors,1
Sunley House Capital Management,1
L'Occitane,1
Trifecta Capital,2
Operator Collective,1
Epiq Capital,1
INGKA Investments,1
Investcorp,1
FTX Venture,1
Better Tomorrow Ventures,1
Flourish Ventures,1
Mendacre,1
BRV Capital Management,2
Liquid 2 Ventures,1
Verizon Ventures,1
CDIB Capital,1
Global Logistic Properties,1
Afore Capital,1
Floodgate,1
Yaxia Automobile,1
Far East Horizon,1
Weber Investissements,1
Schibsted Growth,1
Material Impact,1
3x5 Special Opportunity Partners,1
Thoma Bravo,2
Insights Partners,1
Bling Capital,2
Anthemis,2
CMFG Ventures,2
China Reform Fund,1
Gaopeng Capital,1
Jinhui Xingye,1
Lazada,1
Sinar Mas Indonesia,1
Valo Ventures,1
Industry Ventures,2
Forestay Capital,1
Alumni Ventures,1
NTT DoCoMo Ventures,1
Prologis Ventures,1
Draper Fisher Jurtson,1
Mithril,1
iNovia Capital,1
SAIF Partners China,2
Newsion Venture Capital,1
TowerBrook Capital Partners,1
Sunstone Capital,1
Ardian,2
Opus Capital,1
Genesis Partners,2
